601: TT=VI.2 | TEN=Tra cứu và báo cáo | PATH=
602: TT=181 | TEN=Tra cứu số liệu về các yêu cầu | PATH=
604: TT=182 | TEN=Tra cứu số liệu về công việc | PATH=
606: TT=F | TEN=Phân hệ Giám sát hoạt động vận hành và bảo trì, bảo dưỡng | PATH=
607: TT=I. | TEN=Kiểm tra và đánh giá giám sát | PATH=
608: TT=183 | TEN=Lập và phân công kế hoạch giám sát | PATH=
610: TT=184 | TEN=Kiểm tra và đánh giá giám sát | PATH=
612: TT=185 | TEN=Cập nhật kết quả đánh giá | PATH=
613: TT=186 | TEN=Xem chi tiết kết quả đánh giá | PATH=
614: TT=187 | TEN=Trao đổi, chỉ đạo thông tin | PATH=
615: TT=188 | TEN=Tạo công việc để xử lý hạng mục sau sửa chữa | PATH=
616: TT=189 | TEN=Gửi kết quả đánh giá | PATH=
617: TT=190 | TEN=Báo cáo tổng hợp kết quả đánh giá, giám sát | PATH=
618: TT=II | TEN=Đánh giá chấm điểm theo tiêu chuẩn TCVN/AASHTO | PATH=
619: TT=191 | TEN=Chọn tiêu chuẩn đánh giá | PATH=
623: TT=192 | TEN=Nhập dữ liệu kiểm tra hiện trường | PATH=
628: TT=193 | TEN=Tính chỉ số IRI (TCVN 8863) | PATH=
633: TT=194 | TEN=Thiết kế kết cấu áo đường mềm (TCVN 9437) | PATH=
636: TT=195 | TEN=Chấm điểm PCI (Pavement Condition Index) | PATH=
641: TT=196 | TEN=Chấm điểm BCI (Bridge Condition Index) | PATH=
646: TT=197 | TEN=Phân loại và cảnh báo tự động | PATH=
651: TT=198 | TEN=Hiển thị kết quả trên bản đồ | PATH=
656: TT=199 | TEN=Gợi ý biện pháp xử lý kỹ thuật | PATH=
659: TT=200 | TEN=Theo dõi thay đổi theo thời gian | PATH=
663: TT=201 | TEN=Xuất báo cáo kết quả đánh giá | PATH=
668: TT=202 | TEN=Tùy chỉnh trọng số đánh giá | PATH=
